[5768:10168:1221/185921.236:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[5768:10416:1221/185921.293:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[5768:10168:1221/185921.325:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[5768:10168:1221/185930.230:WARNING:external_registry_loader_win.cc(232)] Error observing HKLM: 5
[5768:17324:1221/185937.210:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[5768:17324:1221/185937.211:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[5768:17324:1221/185937.328:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[5768:17324:1221/185937.418:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[5768:17324:1221/191452.951:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[5768:17324:1221/191453.596:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[5768:17324:1221/191457.546:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[5768:17324:1221/191650.954:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[5768:17324:1221/191652.979:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[5768:17324:1221/194243.442:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[5768:17324:1221/194512.080:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[5768:17324:1221/194519.299:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[5768:17324:1221/194519.839:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[5768:17324:1221/194525.123:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[5768:17324:1221/194655.083:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[5768:17324:1221/194655.432:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[5768:17324:1221/194656.537:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[5768:17324:1221/194656.565:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[5768:17324:1221/195454.579:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[5768:17324:1221/195454.589:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[5768:17324:1221/195935.798:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[5768:17324:1221/195944.217:ERROR:cast_crl.cc(443)] CRL - Verification failed.
