[6324:14880:1221/142745.131:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[6324:6460:1221/142745.192:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[6324:14880:1221/142745.223:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[6324:14880:1221/142749.007:WARNING:external_registry_loader_win.cc(232)] Error observing HKLM: 5
[6324:1400:1221/142751.619:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[6324:1400:1221/142751.627:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[6324:1400:1221/142752.621:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[6324:1400:1221/142752.770:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[2912:4956:1221/144925.105:ERROR:ssl_client_socket_impl.cc(882)] handshake failed; returned -1, SSL error code 1, net_error -100
[6324:1400:1221/144936.371:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[6324:14880:1221/164912.327:ERROR:device_event_log_impl.cc(196)] [16:49:12.103] USB: usb_service_win.cc:105 SetupDiGetDeviceProperty({{A45C254E-DF1C-4EFD-8020-67D146A850E0}, 6}) failed: Element not found. (0x490)
[6324:1400:1221/165311.360:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[6324:1400:1221/165311.361:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[6324:1400:1221/165311.361:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[6324:14024:1221/165553.446:WARNING:dns_config_service_win.cc(605)] Failed to read DnsConfig.
[2912:11756:1221/165553.466:WARNING:dns_config_service_win.cc(605)] Failed to read DnsConfig.
[6324:14024:1221/165558.452:WARNING:dns_config_service_win.cc(605)] Failed to read DnsConfig.
[2912:11756:1221/165558.482:WARNING:dns_config_service_win.cc(605)] Failed to read DnsConfig.
[6324:14024:1221/165626.773:WARNING:dns_config_service_win.cc(605)] Failed to read DnsConfig.
[2912:13108:1221/165626.795:WARNING:dns_config_service_win.cc(605)] Failed to read DnsConfig.
[6324:6460:1221/165627.903:WARNING:dns_config_service_win.cc(605)] Failed to read DnsConfig.
[2912:13108:1221/165627.910:WARNING:dns_config_service_win.cc(605)] Failed to read DnsConfig.
[6324:6460:1221/165632.908:WARNING:dns_config_service_win.cc(605)] Failed to read DnsConfig.
[2912:13484:1221/165632.920:WARNING:dns_config_service_win.cc(605)] Failed to read DnsConfig.
[6324:6460:1221/165642.913:WARNING:dns_config_service_win.cc(605)] Failed to read DnsConfig.
[2912:11756:1221/165642.923:WARNING:dns_config_service_win.cc(605)] Failed to read DnsConfig.
[6324:6460:1221/165649.702:WARNING:dns_config_service_win.cc(605)] Failed to read DnsConfig.
[2912:11756:1221/165649.704:WARNING:dns_config_service_win.cc(605)] Failed to read DnsConfig.
[2912:11756:1221/165649.741:WARNING:dns_config_service_win.cc(605)] Failed to read DnsConfig.
[6324:14024:1221/165649.744:WARNING:dns_config_service_win.cc(605)] Failed to read DnsConfig.
[6324:6460:1221/165654.749:WARNING:dns_config_service_win.cc(605)] Failed to read DnsConfig.
[2912:11756:1221/165654.762:WARNING:dns_config_service_win.cc(605)] Failed to read DnsConfig.
[6324:14024:1221/165704.756:WARNING:dns_config_service_win.cc(605)] Failed to read DnsConfig.
[2912:14948:1221/165704.772:WARNING:dns_config_service_win.cc(605)] Failed to read DnsConfig.
[6324:6460:1221/165724.763:WARNING:dns_config_service_win.cc(605)] Failed to read DnsConfig.
[2912:1060:1221/165724.779:WARNING:dns_config_service_win.cc(605)] Failed to read DnsConfig.
[6324:1400:1221/165817.304:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[6324:1400:1221/165821.449:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[6324:1400:1221/165821.666:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[6324:1400:1221/165822.922:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[6324:1400:1221/171128.211:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[6324:1400:1221/171128.251:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[6324:1400:1221/171133.476:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[6324:1400:1221/171933.129:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[6324:1400:1221/171933.903:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[6324:1400:1221/171936.329:ERROR:cast_crl.cc(443)] CRL - Verification failed.
